"","geo","time","values"
"2805","BE",2001-07-01,57976
"2806","BG",2001-07-01,3921.5
"2807","CH",2001-07-01,74857.5
"2808","CY",2001-07-01,2734.2
"2809","CZ",2001-07-01,17664.1
"2810","DE",2001-07-01,499141
"2811","DK",2001-07-01,39556.4
"2812","EA",2001-07-01,1617660
"2813","EA12",2001-07-01,1617660
"2814","EA19",2001-07-01,1639134.5
"2815","EE",2001-07-01,1550.3
"2816","EL",2001-07-01,35666.7
"2817","ES",2001-07-01,156370
"2818","EU15",2001-07-01,2121659.2
"2819","EU27_2019",2001-07-01,1831552.8
"2820","EU28",2001-07-01,2240603.4
"2821","FI",2001-07-01,31558
"2822","FR",2001-07-01,338474
"2823","HR",2001-07-01,5732
"2824","HU",2001-07-01,13455.6
"2825","IE",2001-07-01,26388.6
"2826","IT",2001-07-01,282078.4
"2827","LT",2001-07-01,3172.1
"2828","LU",2001-07-01,5153
"2829","LV",2001-07-01,2128.1
"2830","MK",2001-07-01,854.9
"2831","MT",2001-07-01,1092.6
"2832","NL",2001-07-01,105307
"2833","NO",2001-07-01,42411.2
"2834","PL",2001-07-01,45458.1
"2835","PT",2001-07-01,29595.3
"2836","RO",2001-07-01,11289.8
"2837","SE",2001-07-01,55409.8
"2838","SI",2001-07-01,5151.5
"2839","SK",2001-07-01,5653.8
"2840","TR",2001-07-01,50287.5
"2841","UK",2001-07-01,409131.4
"2842","AT",2001-04-01,49155.4
"2843","BE",2001-04-01,60548
"2844","BG",2001-04-01,3190.5
"2845","CH",2001-04-01,73993.4
"2846","CY",2001-04-01,2643.8
"2847","CZ",2001-04-01,17044.7
"2848","DE",2001-04-01,483570
"2849","DK",2001-04-01,39418.4
"2850","EA",2001-04-01,1630295.2
"2851","EA12",2001-04-01,1630295.2
"2852","EA19",2001-04-01,1651624.4
"2853","EE",2001-04-01,1601
"2854","EL",2001-04-01,32883.2
"2855","ES",2001-04-01,161166
"2856","EU15",2001-04-01,2138651.6
"2857","EU27_2019",2001-04-01,1849682.4
"2858","EU28",2001-04-01,2256855.3
"2859","FI",2001-04-01,32026
"2860","FR",2001-04-01,346230
"2861","HR",2001-04-01,5465.1
"2862","HU",2001-04-01,13073.9
"2863","IE",2001-04-01,27508.2
"2864","IT",2001-04-01,293271
"2865","LT",2001-04-01,3164.1
