"","nace_r2","geo","time","values"
"300","Real estate activities","Lithuania",2017-10-01,388.1
"301","Real estate activities","Luxembourg",2017-10-01,908.3
"302","Real estate activities","Latvia",2017-10-01,422.7
"303","Professional, scientific and technical activities; administrative and support service activities","Switzerland",2017-10-01,8761.7
"304","Professional, scientific and technical activities; administrative and support service activities","Cyprus",2017-10-01,385.1
"305","Professional, scientific and technical activities; administrative and support service activities","Czechia",2017-10-01,2311.9
"306","Professional, scientific and technical activities; administrative and support service activities","Finland",2017-10-01,3286.2
"307","Professional, scientific and technical activities; administrative and support service activities","France",2017-10-01,62269.9
"308","Professional, scientific and technical activities; administrative and support service activities","Italy",2017-10-01,32428.6
"309","Professional, scientific and technical activities; administrative and support service activities","Lithuania",2017-10-01,455.8
"310","Professional, scientific and technical activities; administrative and support service activities","Luxembourg",2017-10-01,1031.9
"311","Professional, scientific and technical activities; administrative and support service activities","Latvia",2017-10-01,251.2
"312","Public administration, defence, education, human health and social work activities","Switzerland",2017-10-01,18115.7
"313","Public administration, defence, education, human health and social work activities","Cyprus",2017-10-01,823
"314","Public administration, defence, education, human health and social work activities","Czechia",2017-10-01,3921.4
"315","Public administration, defence, education, human health and social work activities","Finland",2017-10-01,6782.9
"316","Public administration, defence, education, human health and social work activities","France",2017-10-01,98830.5
"317","Public administration, defence, education, human health and social work activities","Italy",2017-10-01,53787.1
"318","Public administration, defence, education, human health and social work activities","Lithuania",2017-10-01,722.6
"319","Public administration, defence, education, human health and social work activities","Luxembourg",2017-10-01,1503.1
"320","Public administration, defence, education, human health and social work activities","Latvia",2017-10-01,658
"321","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Switzerland",2017-10-01,2196.2
"322","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Cyprus",2017-10-01,160.9
"323","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Czechia",2017-10-01,666.8
"324","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Finland",2017-10-01,1086.8
"325","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","France",2017-10-01,13335.4
"326","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Hungary",2017-10-01,751.4
"327","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Italy",2017-10-01,13095.6
"328","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Lithuania",2017-10-01,97
"329","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Luxembourg",2017-10-01,179.1
"330","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Latvia",2017-10-01,110.9
"331","Total - all NACE activities","Austria",2017-10-01,70197.6
"332","Total - all NACE activities","Switzerland",2017-10-01,100467.4
"333","Total - all NACE activities","Cyprus",2017-10-01,3839.2
"334","Total - all NACE activities","Czechia",2017-10-01,33958
"335","Total - all NACE activities","Finland",2017-10-01,40527.3
"336","Total - all NACE activities","France",2017-10-01,462430.7
"337","Total - all NACE activities","Hungary",2017-10-01,24817.7
"338","Total - all NACE activities","Italy",2017-10-01,340507.3
"339","Total - all NACE activities","Lithuania",2017-10-01,6707.7
"340","Total - all NACE activities","Luxembourg",2017-10-01,9265.3
"341","Total - all NACE activities","Latvia",2017-10-01,4064.8
"342","Total - all NACE activities","Netherlands",2017-10-01,149966.8
"343","Agriculture, forestry and fishing","Switzerland",2017-07-01,708.1
"344","Agriculture, forestry and fishing","Cyprus",2017-07-01,68.1
"345","Agriculture, forestry and fishing","Czechia",2017-07-01,965.7
"346","Agriculture, forestry and fishing","Finland",2017-07-01,1259.4
"347","Agriculture, forestry and fishing","France",2017-07-01,7860.1
"348","Agriculture, forestry and fishing","Italy",2017-07-01,10758.5
"349","Agriculture, forestry and fishing","Lithuania",2017-07-01,575.4
"350","Agriculture, forestry and fishing","Luxembourg",2017-07-01,19.3
"351","Agriculture, forestry and fishing","Latvia",2017-07-01,204.5
"352","Industry (except construction)","Switzerland",2017-07-01,21591.8
"353","Industry (except construction)","Cyprus",2017-07-01,308.9
"354","Industry (except construction)","Czechia",2017-07-01,11355.3
"355","Industry (except construction)","Finland",2017-07-01,9137.5
"356","Industry (except construction)","France",2017-07-01,62984.4
"357","Industry (except construction)","Hungary",2017-07-01,5582.7
"358","Industry (except construction)","Italy",2017-07-01,62408.1
"359","Industry (except construction)","Lithuania",2017-07-01,1580.1
"360","Industry (except construction)","Luxembourg",2017-07-01,608.4
"361","Industry (except construction)","Latvia",2017-07-01,524.9
"362","Manufacturing","Switzerland",2017-07-01,20309.4
"363","Manufacturing","Cyprus",2017-07-01,210.3
"364","Manufacturing","Czechia",2017-07-01,11535
