,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,2019
,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь
        Нижегородская область,2792,2644,5436,2949,8385,2490,10875,2944,13819,2895,16714,3069,19783,3403,23186,2804,25990,2929,28919,2751,31670,2563,34233,2785,2403,5188,2624,7812,2393,10205,2817,13022,2573,15595,2935,18530,2991,21521,2554,24075,2926,27001,2536,29537,2433,31970,2544
        Оренбургская область,1980,1709,3689,1969,5658,1701,7359,1955,9314,1867,11181,1990,13171,2255,15426,1898,17324,2002,19326,1811,21137,1816,22953,1992,1692,3684,1838,5522,1656,7178,1748,8926,1765,10691,1915,12606,2079,14685,1763,16448,2039,18487,1780,20267,1629,21896,1730
        Пензенская область,976,906,1882,1111,2993,831,3824,1021,4845,1039,5884,1069,6953,1195,8148,998,9146,1006,10152,885,11037,930,11967,928,854,1782,989,2771,835,3606,958,4564,965,5529,1120,6649,1068,7717,931,8648,1047,9695,881,10576,882,11458,902
        Самарская область,2744,2656,5400,3015,8415,2492,10907,2785,13692,2969,16661,2920,19581,3380,22961,3009,25970,2957,28927,2795,31722,2823,34545,2653,2497,5150,2792,7942,2415,10357,2780,13137,2748,15885,3161,19046,3130,22176,2700,24876,3045,27921,2602,30523,2510,33033,2461
        Саратовская область,1869,1719,3588,2054,5642,1678,7320,2055,9375,1894,11269,1945,13214,2371,15585,1935,17520,2089,19609,2080,21689,1927,23616,1827,1734,3561,1784,5345,1713,7058,1979,9037,1657,10694,2043,12737,2178,14915,1814,16729,1935,18664,1821,20485,1586,22071,1612
        Ульяновская область,1031,988,2019,1020,3039,934,3973,1076,5049,1084,6133,1054,7187,1273,8460,1040,9500,1106,10606,1034,11640,925,12565,943,873,1816,1101,2917,936,3853,1078,4931,978,5909,1079,6988,1118,8106,984,9090,1022,10112,941,11053,905,11958,872
        Курганская область,818,686,1504,835,2339,737,3076,822,3898,809,4707,821,5528,900,6428,759,7187,816,8003,758,8761,736,9497,729,666,1395,772,2167,685,2852,739,3591,688,4279,866,5145,773,5918,658,6576,794,7370,671,8041,595,8636,712
        Свердловская область,4586,4113,8699,4606,13305,4116,17421,4612,22033,4382,26415,4709,31124,4962,36086,4140,40226,4781,45007,4363,49370,4213,53583,4234,3850,8084,4024,12108,4084,16192,4676,20868,4044,24912,4602,29514,4652,34166,3958,38124,4645,42769,3738,46507,3715,50222,4007
        Тюменская область,4332,3776,8108,4360,12468,4007,16475,4483,20958,4349,25307,4601,29908,4937,34845,4386,39231,4469,43700,4351,48051,4105,52156,4237,3692,7929,4263,12192,3973,16165,4500,20665,4192,24857,4547,29404,4444,33848,4168,38016,4572,42588,3965,46553,3838,50391,3978
        Челябинская область,3412,3153,6565,3529,10094,3134,13228,3454,16682,3437,20119,3343,23462,3784,27246,3230,30476,3495,33971,3329,37300,2988,40288,3342,2916,6258,3102,9360,3023,12383,3334,15717,3080,18797,3375,22172,3470,25642,3109,28751,3297,32048,2951,34999,2813,37812,2919
